meetinghouse_id,assignment_id,assignment_type,assignment_name
5231876-01-01,139645,ward,Canto Grande Ward
5231876-01-01,332445,ward,Machu Picchu Ward
5231876-01-01,519952,stake,Lima Perú Canto Grande Stake
5231876-01-01,519952,stakecenter,Lima Perú Canto Grande Stake
5231876-01-01,399728,familysearchcenter,Lima Peru Canto Grande Family History Center
5009983-01-01,562327,ward,Holladay 7th Branch (Care Center)
5004685-01-01,559075,ward,Prairie Grove Ward
5845114-01-01,451177,ward,Calakmul Ward
5845114-01-01,1707787,ward,Chac Mool Ward
5845114-01-01,241571,ward,Haciendas Ward
5845114-01-01,464996,stake,Cancún México Haciendas Stake
5845114-01-01,464996,stakecenter,Cancún México Haciendas Stake
5845114-01-01,483753,familysearchcenter,Cancún México Kukulcán Family History Center
5164427-01-01,143782,ward,Barkley Ward
5164427-01-01,2138883,ward,Delmar Ward
5164427-01-01,123277,ward,Ivyglen Ward
5524253-01-01,232513,ward,Monte Castelo Ward
5782325-01-01,NA,NA,NA
5004306-01-01,42846,ward,Caldwell 1st Ward
5004306-01-01,2017687,ward.spanish,Caldwell 2nd Branch (Spanish)
5004306-01-01,3336859,familysearchcenter,Caldwell New Jersey Family History Center
5484588-01-01,350494,ward,Luján 2nd Ward
5010558-01-01,2028964,ward,Assomin Ward
5010558-01-01,2028972,ward,Sodeci Ward
5262763-01-01,176028,ward,Chillogallo Ward
5262763-01-01,243701,ward,Mariscal de Ayacucho Ward
5262763-01-01,523615,stake,Quito Ecuador Chillogallo Stake
5262763-01-01,523615,stakecenter,Quito Ecuador Chillogallo Stake
5050146-01-01,12777,ward,Nephi  4th Ward
5050146-01-01,99171,ward,Nephi  5th Ward
5391865-01-01,178934,ward,Kaw Valley Ward
5391865-01-01,40517,ward,Sherwood Ward
5391865-01-01,508284,stake,Topeka Kansas Stake
5391865-01-01,508284,stakecenter,Topeka Kansas Stake
5391865-01-01,3334473,familysearchcenter,Topeka Kansas Family History Center
5484898-01-01,328952,ward,San Vicente Ward
5684811-01-01,207926,ward,Buckingham Branch
5684811-01-01,3352730,familysearchcenter,Buckingham Virginia Family History Center
5334160-01-01,282790,ward,Orion Ward
5334160-01-01,611506,stake,Orion Philippines Stake
5334160-01-01,611506,stakecenter,Orion Philippines Stake
5334160-01-01,405914,familysearchcenter,Orion Philippines Family History Center
5023904-01-01,74748,ward,Goleta Valley Ward
5023904-01-01,502006,stake,Santa Barbara California Stake
5023904-01-01,502006,stakecenter,Santa Barbara California Stake
5336961-01-01,317357,ward,Thursday Island Branch
5336961-01-01,408743,familysearchcenter,Thursday Island Australia Family History Center
5421381-01-01,262676,ward,Kapolei Ward
5421381-01-01,168653,ward,Makakilo  1st Ward
5421381-01-01,421286,ward,Palehua Ward
5421381-01-01,526371,stake,Makakilo Hawaii Stake
5421381-01-01,526371,stakecenter,Makakilo Hawaii Stake
5421381-01-01,3347494,familysearchcenter,Makakilo Hawaii Family History Center
5494680-01-01,199095,ward,Carmen Ward
5494680-01-01,270954,ward,Macanhan Ward
5186609-01-01,153052,ward,Los Angeles Ward
5186609-01-01,524131,stake,Santo Domingo Ecuador Stake
5186609-01-01,524131,stakecenter,Santo Domingo Ecuador Stake
5186609-01-01,432806,familysearchcenter,Santo Domingo Ecuador Family History Center
5098122-01-01,32522,ward,Bayfield Ward
5098122-01-01,3371905,familysearchcenter,Bayfield Colorado Family History Center
5055873-01-01,60089,ward,San Rafael 1st Ward
5055873-01-01,523313,stake,San Rafael Argentina Stake
5055873-01-01,523313,stakecenter,San Rafael Argentina Stake
5055873-01-01,403040,familysearchcenter,San Rafael Argentina Family History Center
5008831-01-01,318442,ward,Ikot Odon Ward
5161398-01-01,111260,ward,Talagante 1st Ward
5161398-01-01,486418,ward,Talagante 2nd Ward
5161398-01-01,418617,stake,Talagante Chile Stake
5161398-01-01,418617,stakecenter,Talagante Chile Stake
5161398-01-01,404446,familysearchcenter,Talagante Chile Family History Center
5302285-01-01,368172,ward,El Centro Ward
5302285-01-01,108030,ward,Los Teques Ward
5302285-01-01,475599,stake,Caracas Venezuela Los Teques Stake
5302285-01-01,475599,stakecenter,Caracas Venezuela Los Teques Stake
5302285-01-01,441279,familysearchcenter,Caracas Venezuela Los Teques Family History Center
5566614-01-01,430730,ward,Batu Kawa Branch
5566614-01-01,1265970,ward,Kuching 1st Branch
5566614-01-01,1942638,ward.english,Kuching 2nd Branch (English)
5566614-01-01,422975,stake,Kuching Malaysia District
5566614-01-01,422975,stakecenter,Kuching Malaysia District
5566614-01-01,465933,familysearchcenter,Kuching Malaysia Family History Center
5701643-01-01,412279,ward,Gweru Ward
5701643-01-01,428590,ward,Mambo Branch
5497574-01-01,557390,ward,Benfica Ward
5497574-01-01,1663798,ward,Gomes de Matos Ward
5497574-01-01,177105,ward,Jardim América Ward
5497574-01-01,1412396,stake,Fortaleza Brazil Benfica Stake
5497574-01-01,1412396,stakecenter,Fortaleza Brazil Benfica Stake
5497574-01-01,442127,institute,Fortaleza Brazil Montese Institute
5497574-01-01,1804588,familysearchcenter,Fortaleza Brazil Benfica Family History Center
5053803-01-01,14729,ward,Coalville  1st Ward
5053803-01-01,11592,ward,Coalville  2nd Ward
5053803-01-01,500178,stake,Coalville Utah Stake
5053803-01-01,500178,stakecenter,Coalville Utah Stake
5053803-01-01,3365263,familysearchcenter,Coalville Utah Family History Center
5014840-01-01,71021,ward,Jönköping Ward
5014840-01-01,395994,familysearchcenter,Jönköping Sweden Family History Center
5002217-01-01,489921,ward,Deschapelles Branch
5179491-01-01,94137,ward,Page  2nd Ward
5179491-01-01,128244,ward,Page  3rd Ward
5179491-01-01,2165481,ward.ysa,Lake Powell YSA Branch
5179491-01-01,506982,stake,Page Arizona Stake
5179491-01-01,506982,stakecenter,Page Arizona Stake
5899990-01-01,271861,ward,Mayorga Branch
5050855-01-01,156612,ward,Springville  3rd Ward
5050855-01-01,13404,ward,Springville  8th Ward
5417198-01-01,287687,ward,Seis de Abril Branch
5135958-01-01,190268,ward,Cottonwood Creek Ward
5135958-01-01,378003,ward,Ridgeview Ward
5135958-01-01,168963,ward,Sunset Mesa Ward
5135958-01-01,520322,stake,Colorado Springs East Stake
5135958-01-01,520322,stakecenter,Colorado Springs East Stake
5135958-01-01,3372316,familysearchcenter,Colorado Springs Colorado East Family History Center
5376912-01-01,194182,ward,Elm Creek Ward
5376912-01-01,196517,ward,Maple Grove Ward
5376912-01-01,37842,ward,Shingle Creek Ward
5376912-01-01,517836,stake,Anoka Minnesota Stake
5376912-01-01,517836,stakecenter,Anoka Minnesota Stake
5059992-02-01,51616,ward,Bergland Branch
5059992-02-01,419753,familysearchcenter,Bergland Ontario Family History Center
5460204-01-01,239208,ward,Chesterfield Ward
5460204-01-01,1581570,ward,Republic Ward
5460204-01-01,384291,ward,Southern Hills Ward
5460204-01-01,523356,stake,Springfield Missouri South Stake
5460204-01-01,523356,stakecenter,Springfield Missouri South Stake
5460204-01-01,3371867,familysearchcenter,Springfield Missouri South Family History Center
5213703-01-01,96644,ward,Juarez Ward
5381622-01-01,251879,ward,Lo Marcoleta Ward
5381622-01-01,536997,ward,Lo Ovalle Ward
5383897-01-01,201804,ward,Seixal Ward
5383897-01-01,392936,familysearchcenter,Seixal Portugal Family History Center
5333385-01-01,167282,ward,Fairview Branch
5167833-01-01,60399,ward,Concordia Branch
5167833-01-01,425249,ward,Nebel Branch
5167833-01-01,612626,stake,Concordia Argentina District
5167833-01-01,612626,stakecenter,Concordia Argentina District
5167833-01-01,468797,familysearchcenter,Concordia Argentina Family History Center
5411165-01-01,324620,ward,Buena Esperanza Ward
5352282-01-01,389633,ward,Country Lane Ward
5352282-01-01,555533,ward,Stone Creek Ward
5352282-01-01,121835,ward,Westlake Ward
5004799-01-01,68039,ward,Sunderland Ward
5004799-01-01,504114,stake,Sunderland England Stake
5004799-01-01,504114,stakecenter,Sunderland England Stake
5004799-01-01,390119,familysearchcenter,Sunderland England Family History Center
5272203-01-01,479683,ward,Cub River Ward
5272203-01-01,28096,ward,Mapleton Ward
5150302-01-01,195901,ward,Mesquite Ward
5150302-01-01,75884,ward,Skyline Ward
5150302-01-01,167738,ward.spanish,Rio Trinidad Ward (Spanish)
5236002-01-01,39330,ward,Emporia Ward
5236002-01-01,3334481,familysearchcenter,Emporia Kansas Family History Center
5812127-01-01,70394,ward,Bergen Ward
5812127-01-01,396370,familysearchcenter,Bergen Norway Family History Center
5015573-01-01,227617,ward.seasonal,Old Faithful Branch (Seasonal)
5187842-01-01,132608,ward,Sarmiento Ward
5000505-01-01,74705,ward,Toronto Ward
5105625-01-01,182087,ward,La Esperanza Ward
5105625-01-01,243434,ward,La Florida Ward
5105625-01-01,521833,stake,Tacna Perú Arias Aragüez Stake
5105625-01-01,521833,stakecenter,Tacna Perú Arias Aragüez Stake
5105625-01-01,467758,familysearchcenter,Tacna Perú Arias Araguez Family History Center
5008912-01-01,2023105,ward,Gjakova Branch
5184126-01-01,94021,ward,Westland  2nd Ward
5184126-01-01,195146,ward,Westland  4th Ward
5184126-01-01,254827,ward.spanish,Westland  5th Ward (Spanish)
